School,IPEDS_ID
Georgia Institute of Technology,139755
Boston University,164988
Indiana University,151351
Brandeis University,165015
Iowa State University,153603
Brown University,217156
Michigan State University,171100
California Institute of Technology,110404
The Ohio State University,204796
Carnegie Mellon University,211440
The Pennsylvania State University,214777
Case Western Reserve University,201645
Purdue University,243780
Columbia University,190150
Rutgers University - New Brunswick,186380
Cornell University,190415
Stony Brook University - The State University of New York,196097
Duke University,198419
Texas A&M University,228723
Emory University,139658
University at Buffalo - The State University of New York,196088
Harvard University,166027
The University of Arizona,104179
The Johns Hopkins University,162928
"University of California, Davis",110644
Massachusetts Institute of Technology,166683
"University of California, Berkeley",110635
New York University,193900
"University of California, Irvine",110653
Northwestern University,147767
"University of California, Los Angeles",110662
Princeton University,186131
"University of California, San Diego",110680
Rice University,227757
"University of California, Santa Barbara",110705
Stanford University,243744
"University of Colorado, Boulder",126614
Tulane University,160755
University of Florida,134130
The University of Chicago,144050
University of Illinois at Urbana-Champaign,145637
University of Pennsylvania,215062
The University of Iowa,153658
University of Rochester,195030
The University of Kansas,155317
University of Southern California,123961
University of Maryland at College Park,163286
Vanderbilt University,221999
University of Michigan,170976
Washington University in St. Louis,179867
"University of Minnesota, Twin Cities",174066
Yale University,130794
"University of Missouri, Columbia",178396
The University of North Carolina at Chapel Hill,199120
University of Oregon,209551
McGill University,
University of Pittsburgh,215293
University of Toronto,
The University of Texas at Austin,228778
University of Virginia,234076
University of Washington,236948
The University of Wisconsin-Madison,240444
