"School","Conference"
"Alice Lloyd College","River State Conference"
"Allen University","Appalachian Athletic Conference"
"Aquinas College","Wolverine–Hoosier Athletic Conference"
"Arizona Christian University","Golden State Athletic Conference"
"Asbury University","River State Conference"
"Ave Maria University","Sun Conference"
"Avila University","Heart of America Athletic Conference"
"Bacone College","Sooner Athletic Conference"
"Baker University","Heart of America Athletic Conference"
"Bellevue University","North Star Athletic Association"
"Benedictine College","Heart of America Athletic Conference"
"Benedictine University at Mesa","California Pacific Conference"
"Bethany College","Kansas Collegiate Athletic Conference"
"Bethel College","Crossroads League"
"Bethel College","Kansas Collegiate Athletic Conference"
"Bethel University","Southern States Athletic Conference"
"Biola University","Golden State Athletic Conference"
"Blue Mountain College","Southern States Athletic Conference"
"Bluefield College","Appalachian Athletic Conference"
"Brenau University","Southern States Athletic Conference"
"Brescia University","River State Conference"
"Brewton-Parker College","Southern States Athletic Conference"
"Briar Cliff University","Great Plains Athletic Conference"
"Bryan College","Appalachian Athletic Conference"
"California State University-Maritime","California Pacific Conference"
"California, University of, Merced","California Pacific Conference"
"Calumet College of St. Joseph","Chicagoland Collegiate Athletic Conference"
"Campbellsville University","Mid-South Conference"
"Cardinal Stritch University","Chicagoland Collegiate Athletic Conference"
"Carlow University","River State Conference"
"Carroll College","Frontier Conference"
"Central Baptist College","American Midwest Conference"
"Central Christian College","Association of Independent Institutions"
"Central Methodist University","Heart of America Athletic Conference"
"Cincinnati Christian University","River State Conference"
"Clarke University","Heart of America Athletic Conference"
"College of Coastal Georgia","Southern States Athletic Conference"
"College of Saint Mary","Great Plains Athletic Conference"
"College of the Ozarks","Association of Independent Institutions"
"Columbia College","American Midwest Conference"
"Columbia College","Appalachian Athletic Conference"
"Concordia University","Wolverine–Hoosier Athletic Conference"
"Concordia University","Great Plains Athletic Conference"
"Corban University","Cascade Collegiate Conference"
"Cornerstone University","Wolverine–Hoosier Athletic Conference"
"Crowley's Ridge College","Association of Independent Institutions"
"Culver-Stockton College","Heart of America Athletic Conference"
"Cumberland University","Mid-South Conference"
"Dakota State University","North Star Athletic Association"
"Dakota Wesleyan University","Great Plains Athletic Conference"
"Dalton State College","Southern States Athletic Conference"
"Davenport University","Wolverine–Hoosier Athletic Conference"
"Dickinson State University","North Star Athletic Association"
"Dillard University","Gulf Coast Athletic Conference"
"Doane University","Great Plains Athletic Conference"
"Dordt College","Great Plains Athletic Conference"
"Eastern Oregon University","Cascade Collegiate Conference"
"Edward Waters College","Gulf Coast Athletic Conference"
"Embry-Riddle Aeronautical University","California Pacific Conference"
"Evangel University","Heart of America Athletic Conference"
"Faulkner University","Southern States Athletic Conference"
"Fisher College","Association of Independent Institutions"
"Fisk University","Association of Independent Institutions"
"Florida Memorial University","Sun Conference"
"Freed-Hardeman University","American Midwest Conference"
"Friends University","Kansas Collegiate Athletic Conference"
"Georgetown College","Mid-South Conference"
"Georgia Gwinnett College","Association of Independent Institutions"
"Goshen College","Crossroads League"
"Governors State University","Chicagoland Collegiate Athletic Conference"
"Grace College","Crossroads League"
"Graceland University","Heart of America Athletic Conference"
"Grand View University","Heart of America Athletic Conference"
"Hannibal-LaGrange University","American Midwest Conference"
"Harris-Stowe State University","American Midwest Conference"
"Haskell Indian Nations University","Association of Independent Institutions"
"Hastings College","Great Plains Athletic Conference"
"Holy Cross College","Chicagoland Collegiate Athletic Conference"
"Hope International University","Golden State Athletic Conference"
"Huntington University","Crossroads League"
"Huston-Tillotson University","Red River Athletic Conference"
"Indiana Tech","Wolverine–Hoosier Athletic Conference"
"Indiana University East","River State Conference"
"Indiana University Kokomo","River State Conference"
"Indiana University Northwest","Association of Independent Institutions"
"Indiana University Southeast","River State Conference"
"Indiana University-South Bend","Chicagoland Collegiate Athletic Conference"
"Indiana Wesleyan University","Crossroads League"
"Jarvis Christian College","Red River Athletic Conference"
"John Brown University","Sooner Athletic Conference"
"Johnson & Wales University","Sun Conference"
"Johnson & Wales University","Association of Independent Institutions"
"Judson University","Chicagoland Collegiate Athletic Conference"
"Kansas Wesleyan University","Kansas Collegiate Athletic Conference"
"Keiser University","Sun Conference"
"Kentucky Christian University","Association of Independent Institutions"
"La Sierra University","California Pacific Conference"
"Langston University","Red River Athletic Conference"
"Lawrence Technological University","Wolverine–Hoosier Athletic Conference"
"Lewis-Clark State College","Frontier Conference"
"Life University","Mid-South Conference"
"Lincoln Christian University","Association of Independent Institutions"
"Lindenwood University","American Midwest Conference"
"Lindsey Wilson College","Mid-South Conference"
"Louisiana State University Alexandria","Red River Athletic Conference"
"Louisiana State University Shreveport","Red River Athletic Conference"
"Lourdes University","Wolverine–Hoosier Athletic Conference"
"Loyola University","Southern States Athletic Conference"
"Lyon College","American Midwest Conference"
"Madonna University","Wolverine–Hoosier Athletic Conference"
"Marian University","Crossroads League"
"Martin Methodist College","Southern States Athletic Conference"
"Marygrove College","Wolverine–Hoosier Athletic Conference"
"Marymount California University","California Pacific Conference"
"Mayville State University","North Star Athletic Association"
"McPherson College","Kansas Collegiate Athletic Conference"
"Menlo College","Golden State Athletic Conference"
"Mid-America Christian University","Sooner Athletic Conference"
"MidAmerica Nazarene University","Heart of America Athletic Conference"
"Middle Georgia State University","Southern States Athletic Conference"
"Midland University","Great Plains Athletic Conference"
"Midway University","River State Conference"
"Milligan College","Appalachian Athletic Conference"
"Missouri Baptist University","American Midwest Conference"
"Missouri Valley College","Heart of America Athletic Conference"
"Montana State University-Northern","Frontier Conference"
"Montana Tech of the Univ of Montana","Frontier Conference"
"Montreat College","Appalachian Athletic Conference"
"Morningside College","Great Plains Athletic Conference"
"Morris College","Association of Independent Institutions"
"Mount Marty College","Great Plains Athletic Conference"
"Mount Mercy University","Heart of America Athletic Conference"
