"School","Conference","Division"
"Abilene Christian University","Southland Conference","II"
"Academy of Art University","Pacific West Conference","II"
"Adams State University","Rocky Mountain Athletic Conference","II"
"Adelphi University","Northeast-10 Conference","II"
"Adrian College","Michigan Intercol. Ath. Assn.","III"
"Agnes Scott College","USA South Athletic Conference","III"
"Alabama A&M University","Southwestern Athletic Conf.","I-FCS"
"Alabama State University","Southwestern Athletic Conf.","I-FCS"
"Albany State University (Georgia)","Southern Intercol. Ath. Conf.","II"
"Albertus Magnus College","Great Northeast Athletic Conference","III"
"Albion College","Michigan Intercol. Ath. Assn.","III"
"Albright College","Middle Atlantic Conferences","III"
"Alcorn State University","Southwestern Athletic Conf.","I-FCS"
"Alderson Broaddus University","Great Midwest Athletic Conference","II"
"Alfred State College","Eastern College Athletic Conference","III"
"Alfred University","Empire 8","III"
"Allegheny College","North Coast Athletic Conference","III"
"Alma College","Michigan Intercol. Ath. Assn.","III"
"Alvernia University","Middle Atlantic Conferences","III"
"Alverno College","Northern Athletics Collegiate Conference","III"
"American International College","Northeast-10 Conference","II"
"American University","Patriot League","I"
"Amherst College","New England Small College Athletic Conference","III"
"Anderson University (Indiana)","Heartland Collegiate Athletic Conference","III"
"Anderson University (South Carolina)","South Atlantic Conference","II"
"Angelo State University","Lone Star Conference","II"
"Anna Maria College","Great Northeast Athletic Conference","III"
"Appalachian State University","Sun Belt Conference","I-FBS"
"Arcadia University","Middle Atlantic Conferences","III"
"Arizona State University","Pac-12 Conference","I-FBS"
"Arkansas State University","Sun Belt Conference","I-FBS"
"Arkansas Tech University","Great American Conference","II"
"Armstrong State University","Peach Belt Conference","II"
"Ashland University","Great Lakes Intercollegiate Athletic Conference","II"
"Assumption College","Northeast-10 Conference","II"
"Auburn University","Southeastern Conference","I-FBS"
"Auburn University at Montgomery","Independent","II"
"Augsburg College","Minnesota Intercollegiate Athletic Conference","III"
"Augusta University","Peach Belt Conference","II"
"Augustana College (Illinois)","College Conference of Illinois & Wisconsin","III"
"Augustana University (South Dakota)","Northern Sun Intercollegiate Conference","II"
"Aurora University","Northern Athletics Collegiate Conference","III"
"Austin College","Southern Collegiate Athletic Conference","III"
"Austin Peay State University","Ohio Valley Conference","I-FCS"
"Averett University","USA South Athletic Conference","III"
"Azusa Pacific University","Pacific West Conference","II"
"Babson College","New England Women's and Men's Athletic Conference","III"
"Baldwin Wallace University","Ohio Athletic Conference","III"
"Ball State University","Mid-American Conference","I-FBS"
"Bard College","Liberty League","III"
"Barry University","Sunshine State Conference","II"
"Barton College","Conference Carolinas","II"
"Baruch College","City University of New York Athletic Conference","III"
"Bates College","New England Small College Athletic Conference","III"
"Bay Path University","New England Collegiate Conference","III"
"Baylor University","Big 12 Conference","I-FBS"
"Becker College","New England Collegiate Conference","III"
"Belhaven University","American Southwest Conference","III"
"Bellarmine University","Great Lakes Valley Conference","II"
"Belmont Abbey College","Conference Carolinas","II"
"Belmont University","Ohio Valley Conference","I"
"Beloit College","Midwest Conference","III"
"Bemidji State University","Northern Sun Intercollegiate Conference","II"
"Benedict College","Southern Intercol. Ath. Conf.","II"
"Benedictine University (Illinois)","Northern Athletics Collegiate Conference","III"
"Bentley University","Northeast-10 Conference","II"
"Berea College","Independent","III"
"Berry College","Southern Athletic Association","III"
"Bethany College (West Virginia)","Presidents' Athletic Conference","III"
"Bethany Lutheran College","Upper Midwest Athletic Conference","III"
"Bethel University (Minnesota)","Minnesota Intercollegiate Athletic Conference","III"
"Bethune-Cookman University","Mid-Eastern Athletic Conf.","I-FCS"
"Binghamton University","America East Conference","I"
"Biola University","Pacific West Conference","II"
"Birmingham-Southern College","Southern Athletic Association","III"
"Black Hills State University","Rocky Mountain Athletic Conference","II"
"Blackburn College","St. Louis Intercollegiate Athletic Conference","III"
"Bloomfield College","Central Atlantic Collegiate Conference","II"
"Bloomsburg University of Pennsylvania","Pennsylvania State Athletic Conference","II"
"Bluefield State College","Independent","II"
"Bluffton University","Heartland Collegiate Athletic Conference","III"
"Boise State University","Mountain West Conference","I-FBS"
"Boston College","Atlantic Coast Conference","I-FBS"
"Boston University","Patriot League","I"
"Bowdoin College","New England Small College Athletic Conference","III"
"Bowie State University","Central Intercollegiate Athletic Association","II"
"Bowling Green State University","Mid-American Conference","I-FBS"
"Bradley University","Missouri Valley Conference","I"
"Brandeis University","University Athletic Association","III"
"Brevard College","South Atlantic Conference","II"
"Bridgewater College (Virginia)","Old Dominion Athletic Conf.","III"
"Bridgewater State University","Massachusetts State Collegiate Athletic Conference","III"
"Brigham Young University","West Coast Conference","I-FBS"
"Brigham Young University, Hawaii","Pacific West Conference","II"
"Brooklyn College","City University of New York Athletic Conference","III"
"Brown University","The Ivy League","I-FCS"
"Bryant University","Northeast Conference","I-FCS"
"Bryn Athyn College","North Eastern Athletic Conference","III"
"Bryn Mawr College","Centennial Conference","III"
"Bucknell University","Patriot League","I-FCS"
"Buena Vista University","Iowa Intercol. Athletic Conf.","III"
"Buffalo State, State University of New York","State University of New York Athletic Conference","III"
"Butler University","Big East Conference","I-FCS"
"Cabrini University","Colonial States Athletic Conference","III"
"Cairn University","Colonial States Athletic Conference","III"
"Caldwell University","Central Atlantic Collegiate Conference","II"
"California Baptist University","Pacific West Conference","II"
"California Institute of Technology","Southern California Intercollegiate Athletic Conf.","III"
"California Lutheran University","Southern California Intercollegiate Athletic Conf.","III"
"California Polytechnic State University","Big West Conference","I-FCS"
"California State Polytechnic University, Pomona","California Collegiate Athletic Association","II"
"California State University,  Monterey Bay","California Collegiate Athletic Association","II"
"California State University, Bakersfield","Western Athletic Conference","I"
"California State University, Chico","California Collegiate Athletic Association","II"
"California State University, Dominguez Hills","California Collegiate Athletic Association","II"
"California State University, East Bay","California Collegiate Athletic Association","II"
"California State University, Fresno","Mountain West Conference","I-FBS"
"California State University, Fullerton","Big West Conference","I"
"California State University, Los Angeles","California Collegiate Athletic Association","II"
"California State University, Northridge","Big West Conference","I"
"California State University, Sacramento","Big Sky Conference","I-FCS"
"California State University, San Bernardino","California Collegiate Athletic Association","II"
"California State University, San Marcos","California Collegiate Athletic Association","II"
"California State University, Stanislaus","California Collegiate Athletic Association","II"
"California University of Pennsylvania","Pennsylvania State Athletic Conference","II"
"Calvin College","Michigan Intercol. Ath. Assn.","III"
"Cameron University","Lone Star Conference","II"
"Campbell University","Big South Conference","I-FCS"
"Canisius College","Metro Atlantic Athletic Conference","I"
"Capital University","Ohio Athletic Conference","III"
"Carleton College","Minnesota Intercollegiate Athletic Conference","III"
"Carnegie Mellon University","University Athletic Association","III"
"Carroll University (Wisconsin)","College Conference of Illinois & Wisconsin","III"
"Carson-Newman University","South Atlantic Conference","II"
"Carthage College","College Conference of Illinois & Wisconsin","III"
"Case Western Reserve University","University Athletic Association","III"
"Castleton University","North Atlantic Conference","III"
"Catawba College","South Atlantic Conference","II"
"Catholic University","Landmark Conference","III"
"Cazenovia College","North Eastern Athletic Conference","III"
"Cedar Crest College","Colonial States Athletic Conference","III"
"Cedarville University","Great Midwest Athletic Conference","II"
"Centenary College (Louisiana)","Southern Collegiate Athletic Conference","III"
"Centenary University (New Jersey)","Colonial States Athletic Conference","III"
"Central College (Iowa)","Iowa Intercol. Athletic Conf.","III"
"Central Connecticut State University","Northeast Conference","I-FCS"
"Central Michigan University","Mid-American Conference","I-FBS"
"Central State University","Southern Intercol. Ath. Conf.","II"
"Central Washington University","Great Northwest Athletic Conference","II"
"Centre College","Southern Athletic Association","III"
"Chadron State College","Rocky Mountain Athletic Conference","II"
"Chaminade University","Pacific West Conference","II"
"Chapman University","Southern California Intercollegiate Athletic Conf.","III"
"Charleston Southern University","Big South Conference","I-FCS"
"Chatham University","Presidents' Athletic Conference","III"
"Chestnut Hill College","Central Atlantic Collegiate Conference","II"
"Cheyney University of Pennsylvania","Pennsylvania State Athletic Conference","II"
"Chicago State University","Western Athletic Conference","I"
"Chowan University","Central Intercollegiate Athletic Association","II"
"Christian Brothers University","Gulf South Conference","II"
"Christopher Newport University","Capital Athletic Conference Inc.","III"
"Claflin University","Southern Intercol. Ath. Conf.","II"
"Claremont McKenna-Harvey Mudd-Scripps Colleges","Southern California Intercollegiate Athletic Conf.","III"
"Clarion University of Pennsylvania","Pennsylvania State Athletic Conference","II"
"Clark Atlanta University","Southern Intercol. Ath. Conf.","II"
"Clark University (Massachusetts)","New England Women's and Men's Athletic Conference","III"
"Clarks Summit University","Colonial States Athletic Conference","III"
"Clarkson University","Liberty League","III"
